ages,accident_damages,Insurance,service_repairs,Name,Price,Mileage,torque,horsepower,fuel_capacity,dimension,wheelbase,front_tire_size,dirver_leg_room,dirver_head_room,cargo_capacity,curb_weight,towing_capacity,mile_per_gallon,engine_text,drive_type_text,transmission_text,color_ext_int,prior_use,keys
7 year(s),No Accidents or Damage Reported,Null,,2016 Ford Flex SEL,"$20,998*",79K miles,254 torque@4000rpm,287 horsepower@6500rpm,18.6 gal,"201.8"" L x 75.9"" W x 68"" H","117.9""",P235/60TR18,"40.8""","41.8""",20 cu ft,"4,637 lbs","2,000/2,000 lbs",16 city/22 hwy,"6-cyl, Gas, 3.5L",All Wheel Drive,Automatic,Gray/Gray,,2']
4 year(s),No Accidents or Damage Reported,Null,,2019 Land Rover Range Rover Autobiography,"$74,998*",40K miles,461 torque@2500rpm,518 horsepower@6000rpm,27.3 gal,"196.9"" L x 78.1"" W x 73.6"" H","115""",P275/45WR21,"42.5""","39.3""",24.5 cu ft,"5,254 lbs","7,716/7,716 lbs",16 city/21 hwy,"8-cyl, Supercharged Gas, 5.0L",Four Wheel Drive,Automatic,White/Black,,2']
1 year(s),No Accidents or Damage Reported,Null,,2022 Hyundai Santa Cruz SEL,"$26,998*",21K miles,181 torque@4000rpm,191 horsepower@6100rpm,17.7 gal,"195.7"" L x 75"" W x 66.7"" H","118.3""",P245/60HR18,"41.4""","40.7""",Null,"3,725 lbs","3,500/3,500 lbs",21 city/26 hwy,"4-cyl, Gas, 2.5L",Front Wheel Drive,Automatic,White/Black,,2']
5 year(s),No Accidents or Damage Reported,Null,1 Service Record(s) Reported,2018 Chevrolet Equinox LT,"$18,998*",88K miles,203 torque@2000-4000rpm,170 horsepower@5600rpm,14.9 gal,"183.10"" L x 72.60"" W x 65.40"" H","107.30""",P225/65R17,"40.90""","40.00""",Null,"3,325 lbs",Null,26 city/32 hwy,"4-cyl, Turbo Gas, 1.5L",Front Wheel Drive,Automatic,Red/Black,,2']
4 year(s),No Accidents or Damage Reported,Null,,2019 Mazda CX-5 Signature,"$25,998*",54K miles,310 torque@2000rpm,227 horsepower@5000rpm,15.3 gal,"179.1"" L x 72.5"" W x 65.3"" H","106.2""",P225/55VR19,"41""","39.3""",30.9 cu ft,"3,825 lbs","2,000/2,000 lbs",22 city/27 hwy,"4-cyl, Turbo Gas, 2.5L",All Wheel Drive,Automatic,Silver/Brown,,2']
7 year(s),No Accidents or Damage Reported,Null,2 Service Record(s) Reported,2016 Mercedes-Benz GLC300,"$22,998*",71K miles,273 torque@1300rpm,241 horsepower@5550rpm,17.4 gal,"183.3"" L x 74.4"" W x 64.5"" H","113.1""",P235/60HR18,"""","41.9""",20.5 cu ft,"3,947 lbs",Null,21 city/28 hwy,"4-cyl, Turbo Gas, 2.0L",All Wheel Drive,Automatic,Gray/Black,,2']
3 year(s),,Null,,2020 Jeep Grand Cherokee High Altitude,"$36,998*",27K miles,260 torque@4000rpm,295 horsepower@6400rpm,24.6 gal,"189.8"" L x 76.5"" W x 69.3"" H","114.8""",P265/50TR20,"40.3""","39.9""",36.3 cu ft,"4,965 lbs","6,200/6,200 lbs",18 city/25 hwy,"6-cyl, Gas, 3.6L",Four Wheel Drive,Automatic,Silver/Black,,2']
Current Year,No Accidents or Damage Reported,Null,,2023 Volkswagen Tiguan S,"$27,998*",10K miles,221 torque@1900rpm,184 horsepower@6000rpm,15.3 gal,"186.1"" L x 72.4"" W x 66.4"" H","109.9""",P215/65HR17,"40.2""","39.6""",12 cu ft,"3,765 lbs","1,500/1,500 lbs",Null,"4-cyl, Turbo Gas, 2.0L",Front Wheel Drive,Automatic,Gray/Black,,2']
6 year(s),No Accidents or Damage Reported,Null,,2017 GMC Yukon SLT,"$37,998*",75K miles,383 torque@4100rpm,355 horsepower@5600rpm,26.0 gal,"203.9"" L x 80.5"" W x 74.4"" H","116.0""",P265/65R18,"45.3""","42.8""",15.3 cu ft,"5,626 lbs",Null,16 city/22 hwy,"8-cyl, Gas, 5.3L",Four Wheel Drive,Automatic,White/Gray,,2']
6 year(s),No Accidents or Damage Reported,Null,,2017 Nissan Rogue Sport SL,"$21,998*",50K miles,147 torque@4400rpm,141 horsepower@6000rpm,14.5 gal,"172.4"" L x 72.3"" W x 63.3"" H","104.2""",P225/45WR19,"42.8""","39.6""",22.9 cu ft,"3,415 lbs",Null,24 city/30 hwy,"4-cyl, Gas, 2.0L",All Wheel Drive,Automatic,Black/Black,,2']
