,Name,Price,Mileage,ages,accident_damages,Insurance,service_repairs,torque,horsepower,fuel_capacity,dimension,wheelbase,front_tire_size,dirver_leg_room,dirver_head_room,cargo_capacity,curb_weight,towing_capacity,mile_per_gallon,engine_text,drive_type_text,transmission_text,color_ext_int,prior_use,keys
20,2015 BMW Z4 SDrive35i,"$34,998*",26K miles,8 year(s),No Accidents or Damage Reported,Null,8 Service Record(s) Reported,300 torque@1400rpm,300 horsepower@5800rpm,14.5 gal,"166.9"" L x 70.5"" W x 50.8"" H","98.3""",P225/40WR18,"42.2""","39.1""",Null,Null,Null,17 city/24 hwy,"6-cyl, Turbo Gas, 3.0L",Rear Wheel Drive,Automatic,Black/Cream,None,2']
21,2019 Ford Mustang Ecoboost,"$21,998*",92K miles,4 year(s),,Null,,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,21 city/31 hwy,"4-cyl, Turbo Gas, 2.3L",Rear Wheel Drive,Automatic,Gray/Black,None,2']
22,2017 Ford Mustang GT,"$28,998*",80K miles,6 year(s),,Null,,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,15 city/25 hwy,"8-cyl, Gas, 5.0L",Rear Wheel Drive,Automatic,Black/Black,None,2']
23,2019 Toyota 86,"$22,998*",96K miles,4 year(s),No Accidents or Damage Reported,Null,,156 torque@6400rpm,205 horsepower@7000rpm,13.2 gal,"166.7"" L x 69.9"" W x 50.6"" H","101.2""",P215/45WR17,"41.9""","37.1""",Null,"2,776 lbs",Null,21 city/28 hwy,"4-cyl, Gas, 2.0L",Rear Wheel Drive,Manual 6 Speed,Black/Black,None,2']
24,2021 Ford Mustang Ecoboost Premium,"$24,998*",57K miles,2 year(s),No Accidents or Damage Reported,Null,,350 torque@3000rpm,310 horsepower@5500rpm,16 gal,"188.3"" L x 75.4"" W x 54.9"" H","107.1""",P235/50WR18,"44.5""","37.6""",Null,"3,642 lbs",Null,27 hwy,"4-cyl, Turbo Gas, 2.3L",Null,Automatic,White/Black,None,2']
25,2018 Genesis G80,"$29,998*",17K miles,5 year(s),,Null,,293 torque@5000rpm,311 horsepower@6000rpm,20.3 gal,"196.5"" L x 74.4"" W x 58.3"" H","118.5""",P245/45VR18,"45.7""","41.1""",Null,"4,350 lbs",Null,18 city/25 hwy,"6-cyl, Gas, 3.8L",All Wheel Drive,Automatic,Silver/Black,None,2']
26,2020 Chevrolet Camaro LT,"$25,998*",41K miles,3 year(s),No Accidents or Damage Reported,Null,,295 torque@3000-4500rpm,275 horsepower@5600rpm,19.0 gal,"188.3"" L x 74.7"" W x 52.9"" H","110.7""",245/50R18,"43.9""","38.4""",Null,"3,627 lbs",Null,20 city/30 hwy,"4-cyl, Turbo Gas, 2.0L",Null,Automatic,Black/Black,None,2']
27,2019 Dodge Challenger SXT Plus,"$28,998*",47K miles,4 year(s),No Accidents or Damage Reported,Null,5 Service Record(s) Reported,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,"6-cyl, Gas, 3.6L",Null,Automatic,Black/Black,None,2']
28,2019 Chevrolet Camaro LT,"$24,998*",40K miles,4 year(s),No Accidents or Damage Reported,Null,,295 torque@3000-4500rpm,275 horsepower@5600rpm,19.0 gal,"188.3"" L x 74.7"" W x 52.9"" H","110.7""",245/50R18,"43.9""","38.4""",Null,"3,647 lbs",Null,20 city/30 hwy,"4-cyl, Turbo Gas, 2.0L",Null,Automatic,White/Black,None,2']
29,2015 Chevrolet Camaro SS,"$26,998*",75K miles,8 year(s),No Accidents or Damage Reported,Null,,420 torque@4600rpm,426 horsepower@5900rpm,19.0 gal,"190.6"" L x 75.50"" W x 54.20"" H","112.30""",P245/45R20,"42.40""","37.40""",Null,"3,908 lbs",Null,16 city/24 hwy,"8-cyl, Gas, 6.2L",Rear Wheel Drive,Manual 6 Speed,Black/Gray,None,2']
