ages,accident_damages,Insurance,service_repairs,Name,Price,Mileage,torque,horsepower,fuel_capacity,dimension,wheelbase,front_tire_size,dirver_leg_room,dirver_head_room,cargo_capacity,curb_weight,towing_capacity,mile_per_gallon,engine_text,drive_type_text,transmission_text,color_ext_int,prior_use,keys
6 year(s),No Accidents or Damage Reported,Null,10 Service Record(s) Reported,2017 Hyundai Elantra SE,"$14,998*",89K miles,132 torque@4500rpm,147 horsepower@6200rpm,14 gal,"179.9"" L x 70.9"" W x 56.5"" H","106.3""",P195/65TR15,"42.2""","38.8""",Null,"2,812 lbs",Null,29 city/38 hwy,"4-cyl, Gas, 2.0L",Front Wheel Drive,Automatic,Silver/Gray,,2']
3 year(s),No Accidents or Damage Reported,Null,,2020 Kia Forte LXS,"$14,599*",101K miles,132 torque@4500rpm,147 horsepower@6200rpm,14 gal,"182.7"" L x 70.9"" W x 56.5"" H","106.3""",P205/55HR16,"42.2""","38.8""",Null,"2,762 lbs",Null,29 city/40 hwy,"4-cyl, Gas, 2.0L",Front Wheel Drive,Automatic,Gray/Black,,2']
3 year(s),No Accidents or Damage Reported,Null,,2020 Dodge Charger Scat Pack,"$45,998*",49K miles,475 torque@4100rpm,485 horsepower@6100rpm,18.5 gal,"200.8"" L x 75"" W x 57.8"" H","120""",P245/45ZR20,"41.8""","38.6""",Null,"4,385 lbs",Null,Null,"8-cyl, Gas, 6.4L",Rear Wheel Drive,Automatic,White/Red,,2']
8 year(s),No Accidents or Damage Reported,Null,1 Service Record(s) Reported,2015 Audi A3 Premium,"$16,998*",100K miles,200 torque@1600rpm,170 horsepower@4500rpm,13.2 gal,"175"" L x 70.7"" W x 55.8"" H","103.8""",P225/45HR17,"41.2""","39.6""",Null,"3,175 lbs",Null,23 city/33 hwy,"4-cyl, Turbo Gas, 1.8L",Front Wheel Drive,Automatic,White/Brown,,2']
Current Year,No Accidents or Damage Reported,Null,,2023 Kia K5 GT-Line,"$32,998*",9K miles,195 torque@1500rpm,180 horsepower@5500rpm,15.8 gal,"193.1"" L x 73.2"" W x 56.9"" H","112.2""",P235/45VR18,"46.1""","40.2""",Null,Null,Null,Null,"4-cyl, Turbo Gas, 1.6L",Front Wheel Drive,Automatic,Black/Black,,2']
5 year(s),,Null,,2018 Genesis G80,"$29,998*",17K miles,293 torque@5000rpm,311 horsepower@6000rpm,20.3 gal,"196.5"" L x 74.4"" W x 58.3"" H","118.5""",P245/45VR18,"45.7""","41.1""",Null,"4,350 lbs",Null,18 city/25 hwy,"6-cyl, Gas, 3.8L",All Wheel Drive,Automatic,Silver/Black,,2']
7 year(s),No Accidents or Damage Reported,Null,,2016 Ford Focus SE,"$14,998*",75K miles,146 torque@4450rpm,160 horsepower@6500rpm,12.4 gal,"178.5"" L x 71.8"" W x 57.7"" H","104.3""",P215/55HR16,"41.9""","38.3""",Null,"2,960 lbs",Null,26 city/36 hwy,"4-cyl, Gas, 2.0L",Front Wheel Drive,Automatic,White/Tan,,2']
7 year(s),,Null,,2016 Kia Optima LX,"$14,599*",109K miles,178 torque@4000rpm,185 horsepower@6000rpm,18.5 gal,"191.1"" L x 73.2"" W x 57.7"" H","110.4""",P205/65HR16,"45.5""","39.8""",Null,"3,219 lbs",Null,24 city/35 hwy,"4-cyl, Gas, 2.4L",Front Wheel Drive,Automatic,Burgundy/Gray,,2']
4 year(s),,Null,6 Service Record(s) Reported,2019 BMW 540 I xDrive,"$35,998*",24K miles,332 torque@1380rpm,335 horsepower@5500rpm,18 gal,"194.6"" L x 73.5"" W x 58.2"" H","117.1""",P245/45HR18,"41.4""","38.8""",Null,"4,019 lbs",Null,21 city/29 hwy,"6-cyl, Turbo Gas, 3.0L",All Wheel Drive,Automatic,Gray/Black,,2']
1 year(s),No Accidents or Damage Reported,Null,,2022 Volkswagen Passat SE,"$24,998*",33K miles,206 torque@1700rpm,174 horsepower@5200rpm,18.5 gal,"193.6"" L x 72.2"" W x 58"" H","110.4""",P235/45HR18,"42.4""","38.3""",Null,"3,314 lbs",Null,24 city/36 hwy,"4-cyl, Turbo Gas, 2.0L",Front Wheel Drive,Automatic,Black/Black,,2']
Current Year,No Accidents or Damage Reported,Null,,2023 Genesis G70 2.0T,"$38,998*",6K miles,260 torque@1400rpm,252 horsepower@6200rpm,15.8 gal,"184.4"" L x 72.8"" W x 55.1"" H","111.6""",P225/40ZR19,"42.6""","39.8""",Null,"3,688 lbs",Null,21 city/31 hwy,"4-cyl, Turbo Gas, 2.0L",Rear Wheel Drive,Automatic,White/Cream,,2']
9 year(s),,Null,1 Service Record(s) Reported,2014 Hyundai Sonata SE,"$14,998*",101K miles,181 torque@4250rpm,192 horsepower@6300rpm,18.5 gal,"189.8"" L x 72.2"" W x 57.9"" H","110""",P225/45VR18,"45.5""","40""",Null,"3,245 lbs",Null,24 city/35 hwy,"4-cyl, Gas, 2.4L",Front Wheel Drive,Automatic,White/Black,,2']
