Unnamed: 0,Name,Price,Mileage,ages,accident_damages,Insurance,service_repairs,fuel_capacity,wheelbase,dirver_leg_room,dirver_head_room,cargo_capacity,curb_weight,towing_capacity,drive_type_text,transmission_text,torque_num,torque_rpm,dimension_L,dimension_W,dimension_H,mile_per_gallon_city,mile_per_gallon_hwy,engine_cly,engine_fuel,engine_L,color_ext,color_int,torque
48,2017 Volkswagen Beetle Classic,"$27,998*",16K miles,6 year(s),No Accidents or Damage Reported,Null,,14.5 gal,"100""","41.3""","39.3""",Null,"3,225 lbs",Null,Front Wheel Drive,Automatic,184,1500,"168.4"" L "," 71.2"" W "," 58"" H",24 city,33 hwy,4-cyl, Turbo Gas, 1.8L,Gray,Brown,1226.6666666666665
49,2021 Dodge Challenger SXT,"$28,998*",21K miles,2 year(s),No Accidents or Damage Reported,Null,4 Service Record(s) Reported,18.5 gal,"116.2""","42""","39.3""",Null,"4,057 lbs",Null,All Wheel Drive,Automatic,268,4800,"197.9"" L "," 75.7"" W "," 58.4"" H",18 city,27 hwy,6-cyl, Gas, 3.6L,Black,Black,558.3333333333334
50,2020 Dodge Challenger R/T Scat Pack,"$43,998*",12K miles,3 year(s),No Accidents or Damage Reported,Null,,18.5 gal,"116.2""","42""","39.3""",Null,"4,230 lbs",Null,Rear Wheel Drive,Manual 6 Speed,475,4100,"197.9"" L "," 75.7"" W "," 57.5"" H",14 city,23 hwy,8-cyl, Gas, 6.4L,Purple,Black,1158.5365853658536
51,2013 BMW M3,"$35,998*",45K miles,10 year(s),,Null,8 Service Record(s) Reported,16.6 gal,"108.7""","41.8""","38.0""",Null,"4,145 lbs",Null,Null,Automatic,295,3900,"181.7"" L "," 71.0"" W "," 54.8"" H",13 city,20 hwy,8-cyl, Gas, 4.0L,Red,Black,756.4102564102564
52,2020 Ford Mustang Shelby GT350,"$66,998*",9K miles,3 year(s),No Accidents or Damage Reported,Null,,16 gal,"107.1""","44.5""","37.6""",Null,"3,760 lbs",Null,Rear Wheel Drive,Manual 6 Speed,429,4750,"188.9"" L "," 75.9"" W "," 54.2"" H",14 city,21 hwy,8-cyl, Gas, 5.2L,Blue,Black,903.1578947368421
53,2018 Ford Mustang Ecoboost Premium,"$22,998*",85K miles,5 year(s),,Null,,15.5 gal,"107.1""","44.5""","37.6""",Null,"3,532 lbs",Null,Rear Wheel Drive,Automatic,350,3000,"188.3"" L "," 75.4"" W "," 54.4"" H",21 city,31 hwy,4-cyl, Turbo Gas, 2.3L,Gray,Black,1166.6666666666667
54,2021 Audi TT RS,"$66,998*",28K miles,2 year(s),No Accidents or Damage Reported,Null,2 Service Record(s) Reported,14.5 gal,"98.6""","41.1""","37.1""",Null,"3,296 lbs",Null,All Wheel Drive,Automatic,354,2000,"165"" L "," 72.1"" W "," 52.9"" H",Null,Null,5-cyl, Turbo Gas, 2.5L,Black,Black,1770.0
56,2020 Dodge Challenger SXT,"$27,998*",33K miles,3 year(s),No Accidents or Damage Reported,Null,,18.5 gal,"116.2""","42""","39.3""",Null,"4,057 lbs",Null,All Wheel Drive,Automatic,268,4800,"197.9"" L "," 75.7"" W "," 57.5"" H",18 city,27 hwy,6-cyl, Gas, 3.6L,Burgundy,Black,558.3333333333334
57,2019 Ford Mustang Ecoboost Premium,"$27,998*",28K miles,4 year(s),,Null,2 Service Record(s) Reported,16 gal,"107.1""","44.5""","37.6""",Null,"3,532 lbs",Null,Null,Automatic,350,3000,"188.3"" L "," 75.4"" W "," 54.4"" H",21 city,31 hwy,4-cyl, Turbo Gas, 2.3L,White,Black,1166.6666666666667
58,2018 BMW M240 XI,"$34,998*",26K miles,5 year(s),No Accidents or Damage Reported,Null,2 Service Record(s) Reported,13.7 gal,"105.9""","41.5""","40.5""",Null,"3,944 lbs",Null,All Wheel Drive,Automatic,369,1520,"175.9"" L "," 69.8"" W "," 55.2"" H",21 city,30 hwy,6-cyl, Turbo Gas, 3.0L,White,Tan,2427.6315789473683
