Unnamed: 0,Name,Price,Mileage,ages,accident_damages,Insurance,service_repairs,fuel_capacity,wheelbase,dirver_leg_room,dirver_head_room,cargo_capacity,curb_weight,towing_capacity,drive_type_text,transmission_text,torque_num,torque_rpm,dimension_L,dimension_W,dimension_H,mile_per_gallon_city,mile_per_gallon_hwy,engine_cly,engine_fuel,engine_L,color_ext,color_int,torque
53,2019 Mazda MX-5 Miata RF Grand Touring,"$28,998*",9K miles,4 year(s),No Accidents or Damage Reported,Null,,11.9 gal,"90.9""","43.1""","36.8""",Null,"2,493 lbs",Null,Rear Wheel Drive,Automatic,151,4000,"154.1"" L "," 68.3"" W "," 49"" H",26 city,35 hwy,4-cyl, Gas, 2.0L,Red,Black,377.5
54,2017 Ford Mustang Ecoboost,"$20,998*",102K miles,6 year(s),Multiple Damage Events,Null,,15.5 gal,"107.1""","44.5""","37.6""",Null,"3,532 lbs",Null,Null,Automatic,320,2500,"188.3"" L "," 75.4"" W "," 54.4"" H",21 city,30 hwy,4-cyl, Turbo Gas, 2.3L,Black,Black,1280.0
55,2014 Chevrolet Camaro LS,"$21,998*",12K miles,9 year(s),No Accidents or Damage Reported,Null,,19.0 gal,"112.30""","42.40""","37.40""",Null,"3,719 lbs",Null,Rear Wheel Drive,Automatic,278,4800,"190.6"" L "," 75.50"" W "," 54.20"" H",17 city,28 hwy,6-cyl, Gas, 3.6L,Burgundy,Black,579.1666666666666
56,2013 Mazda MX-5 Miata Club,"$18,998*",66K miles,10 year(s),No Accidents or Damage Reported,Null,,12.7 gal,"91.7""","43.1""","37.0""",Null,"2,542 lbs",Null,Rear Wheel Drive,Automatic,140,5000,"157.3"" L "," 67.7"" W "," 49.4"" H",21 city,28 hwy,4-cyl, Gas, 2.0L,Red,Black,280.0
57,2018 Ford Mustang Ecoboost,"$22,998*",64K miles,5 year(s),No Accidents or Damage Reported,Null,7 Service Record(s) Reported,15.5 gal,"107.1""","44.5""","37.6""",Null,"3,532 lbs",Null,Rear Wheel Drive,Automatic,350,3000,"188.3"" L "," 75.4"" W "," 54.4"" H",21 city,31 hwy,4-cyl, Turbo Gas, 2.3L,Gray,Black,1166.6666666666667
58,2020 Ford Mustang Ecoboost Premium,"$26,998*",38K miles,3 year(s),,Null,,16 gal,"107.1""","44.5""","37.6""",Null,"3,532 lbs",Null,Null,Automatic,350,3000,"188.3"" L "," 75.4"" W "," 54.4"" H",21 city,30 hwy,4-cyl, Turbo Gas, 2.3L,Silver,Black,1166.6666666666667
59,2015 Chevrolet Camaro LT,"$19,998*",63K miles,8 year(s),,Null,,19.0 gal,"112.30""","42.40""","37.80""",Null,"4,015 lbs",Null,Rear Wheel Drive,Automatic,278,4800,"190.6"" L "," 75.50"" W "," 54.70"" H",17 city,28 hwy,6-cyl, Gas, 3.6L,Silver,Black,579.1666666666666
60,2020 Acura TLX,"$26,998*",26K miles,3 year(s),,Null,,17.2 gal,"109.3""","42.6""","37.2""",Null,"3,505 lbs",Null,Front Wheel Drive,Automatic,182,4500,"190.7"" L "," 73"" W "," 57"" H",23 city,33 hwy,4-cyl, Gas, 2.4L,Black,Black,404.4444444444444
61,2014 Chevrolet Corvette Stingray,"$38,998*",78K miles,9 year(s),,Null,,18.5 gal,"106.70""","43.00""","37.90""",Null,"3,298 lbs",Null,Rear Wheel Drive,Automatic,460,4600,"176.90"" L "," 73.90"" W "," 48.80"" H",17 city,29 hwy,8-cyl, Gas, 6.2L,Burgundy,Brown,1000.0
62,2016 Jaguar F-Type,"$34,998*",55K miles,7 year(s),No Accidents or Damage Reported,Null,4 Service Record(s) Reported,18.5 gal,"103.2""","43""","37""",Null,"3,477 lbs",Null,Rear Wheel Drive,Automatic,332,3500,"176"" L "," 75.7"" W "," 51.6"" H",19 city,28 hwy,6-cyl, Supercharged Gas, 3.0L,Black,Black,948.5714285714287
