ages,accident_damages,Insurance,service_repairs,Name,Price,Mileage,fuel_capacity,wheelbase,dirver_leg_room,dirver_head_room,cargo_capacity,curb_weight,towing_capacity,drive_type_text,transmission_text,torque_num,torque_rpm,dimension_L,dimension_W,dimension_H,mile_per_gallon_city,mile_per_gallon_hwy,engine_cly,engine_fuel,engine_L,color_ext,color_int,torque
5 year(s),No Accidents or Damage Reported,Null,14 Service Record(s) Reported,2018 Jeep Grand Cherokee Trailhawk,"$29,998*",65K miles,24.6 gal,"114.8""","40.3""","39.9""",36.3 cu ft,"5,004 lbs","6,200/6,200 lbs",Four Wheel Drive,Automatic,260,4000,"189.8"" L "," 76.5"" W "," 69.3"" H",18 city,25 hwy,6-cyl, Gas, 3.6L,White,Black,650.0
Current Year,No Accidents or Damage Reported,Null,,2023 Nissan Rogue SV,"$29,998*",18K miles,14.5 gal,"106.5""","41.5""","41.1""",36.5 cu ft,"3,490 lbs","1,500/1,500 lbs",Front Wheel Drive,Automatic,225,2800,"183"" L "," 72.4"" W "," 66.5"" H",30 city,37 hwy,3-cyl, Turbo Gas, 1.5L,Black,Black,803.5714285714287
Current Year,No Accidents or Damage Reported,Null,,2023 Genesis GV80,"$61,998*",4K miles,21.1 gal,"116.3""","41.6""","40.2""",34.9 cu ft,"4,850 lbs","6,000/6,000 lbs",All Wheel Drive,Automatic,311,1650,"194.7"" L "," 77.8"" W "," 67.5"" H",20 city,24 hwy,4-cyl, Turbo Gas, 2.5L,White,Cream,1884.8484848484848
1 year(s),No Accidents or Damage Reported,Null,,2022 Toyota RAV4 Hybrid Limited,"$42,998*",16K miles,14.5 gal,"105.9""","41""","37.7""",37.5 cu ft,"3,780 lbs","1,750/1,750 lbs",All Wheel Drive,Automatic,163,3600,"180.9"" L "," 73"" W "," 67"" H",41 city,38 hwy,4-cyl, Hybrid, 2.5L,Blue,Black,452.77777777777777
2 year(s),No Accidents or Damage Reported,Null,,2021 Kia Telluride SX,"$43,998*",25K miles,18.8 gal,"114.2""","41.4""","39.5""",21 cu ft,"4,354 lbs","5,000/5,000 lbs",All Wheel Drive,Automatic,262,5200,"196.9"" L "," 78.3"" W "," 68.9"" H",19 city,24 hwy,6-cyl, Gas, 3.8L,Green,Black,503.8461538461538
4 year(s),,Null,,2019 Mercedes-Benz GLC300,"$28,998*",38K miles,17.4 gal,"113.1""","40.8""","41.9""",19.4 cu ft,"3,891 lbs","3,500/3,500 lbs",Rear Wheel Drive,Automatic,273,1300,"183.3"" L "," 74.4"" W "," 64.5"" H",22 city,27 hwy,4-cyl, Turbo Gas, 2.0L,Black,Black,2100.0
7 year(s),No Accidents or Damage Reported,Null,10 Service Record(s) Reported,2016 Acura MDX,"$24,998*",66K miles,19.5 gal,"111""","41.5""","38.1""",15 cu ft,"4,262 lbs","3,500/3,500 lbs",All Wheel Drive,Automatic,267,4700,"193.6"" L "," 77.2"" W "," 67.6"" H",18 city,26 hwy,6-cyl, Gas, 3.5L,White,Tan,568.0851063829788
1 year(s),No Accidents or Damage Reported,Null,,2022 Toyota Highlander LE,"$32,998*",45K miles,17.9 gal,"112.2""","42""","41.2""",16 cu ft,"4,330 lbs","5,000/5,000 lbs",All Wheel Drive,Automatic,263,4700,"194.9"" L "," 76"" W "," 68.1"" H",20 city,27 hwy,6-cyl, Gas, 3.5L,Gray,Gray,559.5744680851064
2 year(s),No Accidents or Damage Reported,Null,,2021 Jeep Grand Cherokee Laredo X,"$34,998*",24K miles,24.6 gal,"114.8""","40.3""","39.9""",36.3 cu ft,"4,625 lbs","3,500/3,500 lbs",Four Wheel Drive,Automatic,260,4000,"189.8"" L "," 76.5"" W "," 69.3"" H",25 hwy,,6-cyl, Gas, 3.6L,Black,Black,650.0
3 year(s),No Accidents or Damage Reported,Null,,2020 Cadillac XT5 Premium Luxury,"$34,998*",40K miles,21.7 gal,"112.5""","41.2""","37.9""",Null,"4,206 lbs","3,500/3,500 lbs",All Wheel Drive,Automatic,271,5000,"189.6"" L "," 74.9"" W "," 66.1"" H",18 city,25 hwy,6-cyl, Gas, 3.6L,Gray,Brown,542.0
Current Year,,Null,,2023 Hyundai Santa Fe SEL,"$30,998*",5K miles,18.8 gal,"108.9""","44.1""","41.2""",36.4 cu ft,"3,810 lbs","2,000/2,000 lbs",Front Wheel Drive,Automatic,181,4000,"188.4"" L "," 74.8"" W "," 66.3"" H",25 city,28 hwy,4-cyl, Gas, 2.5L,Black,Black,452.5
2 year(s),No Accidents or Damage Reported,Null,,2021 Mercedes-Benz GLB250,"$35,998*",25K miles,15.9 gal,"111.4""","41.4""","40.7""",20.1 cu ft,"3,759 lbs",Null,All Wheel Drive,Automatic,258,1800,"182.4"" L "," 72.2"" W "," 65.3"" H",23 city,30 hwy,4-cyl, Turbo Gas, 2.0L,Black,Black,1433.3333333333335
2 year(s),No Accidents or Damage Reported,Null,,2021 Ford Expedition Max XLT,"$43,998*",55K miles,28.3 gal,"131.6""","43.9""","42""",36 cu ft,"5,793 lbs","6,000/6,000 lbs",Four Wheel Drive,Automatic,470,3500,"221.9"" L "," 79.9"" W "," 76.2"" H",16 city,21 hwy,6-cyl, Turbo Gas, 3.5L,Gray,Gray,1342.857142857143
1 year(s),,Null,,2022 Nissan Rogue SL,"$35,998*",22K miles,14.5 gal,"106.5""","41.5""","39.2""",36.3 cu ft,"3,697 lbs","1,500/1,500 lbs",All Wheel Drive,Automatic,225,2800,"183"" L "," 72.4"" W "," 66.5"" H",28 city,34 hwy,3-cyl, Turbo Gas, 1.5L,Gray,Black,803.5714285714287
1 year(s),No Accidents or Damage Reported,Null,,2022 Toyota Corolla Cross XLE,"$31,998*",4K miles,12.4 gal,"103.9""","42.9""","38.6""",25.5 cu ft,"3,170 lbs","1,500/1,500 lbs",Front Wheel Drive,Automatic,151,4400,"175.6"" L "," 71.9"" W "," 64.8"" H",31 city,33 hwy,4-cyl, Gas, 2.0L,Black,Black,343.1818181818182
6 year(s),,Null,,2017 Buick Envision Essence,"$22,998*",33K miles,17.3 gal,"108.3""","40.9""","40""",Null,"3,755 lbs",Null,Null,Automatic,192,4400,"183.7"" L "," 72.4"" W "," 66.8"" H",22 city,29 hwy,4-cyl, Gas, 2.5L,Red,Tan,436.3636363636364
4 year(s),No Accidents or Damage Reported,Null,4 Service Record(s) Reported,2019 Lexus NX 300,"$31,998*",23K miles,15.9 gal,"104.7""","42.8""","38.2""",17.7 cu ft,"3,940 lbs","2,000/2,000 lbs",Front Wheel Drive,Automatic,258,1650,"182.3"" L "," 73.6"" W "," 64.8"" H",22 city,28 hwy,4-cyl, Turbo Gas, 2.0L,Silver,Black,1563.6363636363637
1 year(s),No Accidents or Damage Reported,Null,,2022 BMW X3 XDrive30i,"$40,998*",29K miles,17.2 gal,"112.8""","40.3""","41.1""",28.7 cu ft,"4,149 lbs",Null,All Wheel Drive,Automatic,258,1450,"185.9"" L "," 74.4"" W "," 66"" H",Null,Null,4-cyl, Turbo Gas, 2.0L,White,Brown,1779.3103448275863
4 year(s),,Null,1 Service Record(s) Reported,2019 Toyota RAV4 Hybrid Limited,"$31,998*",71K miles,14.5 gal,"105.9""","41""","37.7""",37.5 cu ft,"3,800 lbs","1,750/1,750 lbs",All Wheel Drive,Automatic,163,3600,"180.9"" L "," 73"" W "," 67"" H",41 city,38 hwy,4-cyl, Hybrid, 2.5L,Gray,Black,452.77777777777777
2 year(s),No Accidents or Damage Reported,Null,6 Service Record(s) Reported,2021 GMC Acadia SLT,"$34,998*",42K miles,22 gal,"112.5""","41""","40""",12.8 cu ft,"4,234 lbs",Null,All Wheel Drive,Automatic,271,5000,"193.4"" L "," 75.4"" W "," 66.7"" H",19 city,26 hwy,6-cyl, Gas, 3.6L,Black,Black,542.0
4 year(s),,Null,,2019 Hyundai Tucson SEL,"$17,998*",97K miles,16.4 gal,"105.1""","41.5""","39.6""",31 cu ft,"3,426 lbs","1,000/1,000 lbs",Front Wheel Drive,Automatic,175,4000,"176.4"" L "," 72.8"" W "," 64.8"" H",22 city,28 hwy,4-cyl, Gas, 2.4L,White,Gray,437.5
5 year(s),No Accidents or Damage Reported,Null,6 Service Record(s) Reported,2018 BMW X5 XDrive35i,"$33,998*",43K miles,22.4 gal,"115.5""","40.4""","40.5""",35.8 cu ft,"4,790 lbs","5,952/5,952 lbs",All Wheel Drive,Automatic,300,1200,"192.4"" L "," 76.3"" W "," 69.4"" H",18 city,24 hwy,6-cyl, Turbo Gas, 3.0L,Gray,Black,2500.0
7 year(s),No Accidents or Damage Reported,Null,,2016 Ford Flex SEL,"$20,998*",79K miles,18.6 gal,"117.9""","40.8""","41.8""",20 cu ft,"4,637 lbs","2,000/2,000 lbs",All Wheel Drive,Automatic,254,4000,"201.8"" L "," 75.9"" W "," 68"" H",16 city,22 hwy,6-cyl, Gas, 3.5L,Gray,Gray,635.0
4 year(s),No Accidents or Damage Reported,Null,,2019 Land Rover Range Rover Autobiography,"$74,998*",40K miles,27.3 gal,"115""","42.5""","39.3""",24.5 cu ft,"5,254 lbs","7,716/7,716 lbs",Four Wheel Drive,Automatic,461,2500,"196.9"" L "," 78.1"" W "," 73.6"" H",16 city,21 hwy,8-cyl, Supercharged Gas, 5.0L,White,Black,1844.0
1 year(s),No Accidents or Damage Reported,Null,,2022 Hyundai Santa Cruz SEL,"$26,998*",21K miles,17.7 gal,"118.3""","41.4""","40.7""",Null,"3,725 lbs","3,500/3,500 lbs",Front Wheel Drive,Automatic,181,4000,"195.7"" L "," 75"" W "," 66.7"" H",21 city,26 hwy,4-cyl, Gas, 2.5L,White,Black,452.5
4 year(s),No Accidents or Damage Reported,Null,,2019 Mazda CX-5 Signature,"$25,998*",54K miles,15.3 gal,"106.2""","41""","39.3""",30.9 cu ft,"3,825 lbs","2,000/2,000 lbs",All Wheel Drive,Automatic,310,2000,"179.1"" L "," 72.5"" W "," 65.3"" H",22 city,27 hwy,4-cyl, Turbo Gas, 2.5L,Silver,Brown,1550.0
7 year(s),No Accidents or Damage Reported,Null,2 Service Record(s) Reported,2016 Mercedes-Benz GLC300,"$22,998*",71K miles,17.4 gal,"113.1""","""","41.9""",20.5 cu ft,"3,947 lbs",Null,All Wheel Drive,Automatic,273,1300,"183.3"" L "," 74.4"" W "," 64.5"" H",21 city,28 hwy,4-cyl, Turbo Gas, 2.0L,Gray,Black,2100.0
3 year(s),,Null,,2020 Jeep Grand Cherokee High Altitude,"$36,998*",27K miles,24.6 gal,"114.8""","40.3""","39.9""",36.3 cu ft,"4,965 lbs","6,200/6,200 lbs",Four Wheel Drive,Automatic,260,4000,"189.8"" L "," 76.5"" W "," 69.3"" H",18 city,25 hwy,6-cyl, Gas, 3.6L,Silver,Black,650.0
Current Year,No Accidents or Damage Reported,Null,,2023 Volkswagen Tiguan S,"$27,998*",10K miles,15.3 gal,"109.9""","40.2""","39.6""",12 cu ft,"3,765 lbs","1,500/1,500 lbs",Front Wheel Drive,Automatic,221,1900,"186.1"" L "," 72.4"" W "," 66.4"" H",Null,Null,4-cyl, Turbo Gas, 2.0L,Gray,Black,1163.157894736842
6 year(s),No Accidents or Damage Reported,Null,,2017 GMC Yukon SLT,"$37,998*",75K miles,26.0 gal,"116.0""","45.3""","42.8""",15.3 cu ft,"5,626 lbs",Null,Four Wheel Drive,Automatic,383,4100,"203.9"" L "," 80.5"" W "," 74.4"" H",16 city,22 hwy,8-cyl, Gas, 5.3L,White,Gray,934.1463414634146
6 year(s),No Accidents or Damage Reported,Null,,2017 Nissan Rogue Sport SL,"$21,998*",50K miles,14.5 gal,"104.2""","42.8""","39.6""",22.9 cu ft,"3,415 lbs",Null,All Wheel Drive,Automatic,147,4400,"172.4"" L "," 72.3"" W "," 63.3"" H",24 city,30 hwy,4-cyl, Gas, 2.0L,Black,Black,334.09090909090907
7 year(s),,Null,2 Service Record(s) Reported,2016 Ford F150 XLT,"$26,998*",109K miles,23 gal,"145""","43.9""","40.8""",Null,"4,709 lbs","7,100/7,100 lbs",Four Wheel Drive,Automatic,387,3850,"231.9"" L "," 79.9"" W "," 77.2"" H",15 city,21 hwy,8-cyl, Gas, 5.0L,Green,Gray,1005.1948051948052
9 year(s),,Null,7 Service Record(s) Reported,2014 Honda Pilot Touring,"$20,998*",110K miles,21 gal,"109.2""","41.4""","39.3""",18 cu ft,"4,608 lbs","4,500/4,500 lbs",Four Wheel Drive,Automatic,253,4800,Null,,,17 city,24 hwy,6-cyl, Gas, 3.5L,White,Gray,527.0833333333334
