,Name,Price,Mileage,ages,accident_damages,Insurance,service_repairs,fuel_capacity,wheelbase,dirver_leg_room,dirver_head_room,cargo_capacity,curb_weight,towing_capacity,drive_type_text,transmission_text,torque_num,torque_rpm,dimension_L,dimension_W,dimension_H,mile_per_gallon_city,mile_per_gallon_hwy,engine_cly,engine_fuel,engine_L,color_ext,color_int,torque
137,2014 Ford Escape Titanium,"$16,998*",79K miles,9,No Accidents or Damage Reported,0,2,15.1,105.9,43.1,39.9,34.3,3502,2000,Front Wheel Drive,Automatic,184,2500,178.1,72.4,66.3,23,32,4, Turbo Gas,1.6,Pearl,Tan,736.0
138,2016 Volvo XC90 T6 Momentum,"$24,998*",89K miles,7,No Accidents or Damage Reported,0,3,18.8,117.5,40.9,38.9,12.6,4394,5000,All Wheel Drive,Automatic,295,2200,194.8,79.1,69.9,20,25,4, Turbo Supercharged,2.0,Black,Black,1340.9
139,2013 Ford Edge Limited,"$18,998*",75K miles,10,No Accidents or Damage Reported,0,0,19.2,111.2,40.7,40.0,0.0,4234,0,All Wheel Drive,Automatic,253,4000,184.2,76.0,67.0,18,25,6, Gas,3.5,Red,Black,632.5
140,2017 Ford Escape Titanium,"$19,998*",66K miles,6,No Accidents or Damage Reported,0,0,15.7,105.9,43.1,39.9,34.3,3502,2000,Front Wheel Drive,Automatic,177,2500,178.1,72.4,66.3,23,30,4, Turbo Gas,1.5,Black,Black,708.0
141,2018 Toyota RAV4 XLE,"$23,998*",60K miles,5,No Accidents or Damage Reported,0,0,15.9,104.7,42.6,38.9,38.4,3485,1500,Front Wheel Drive,Automatic,172,4100,181.1,72.6,65.9,23,30,4, Gas,2.5,White,Black,419.5
142,2019 Honda CR-V EX-L,"$29,998*",25K miles,4,No Accidents or Damage Reported,0,0,14.0,104.7,41.3,38.0,39.2,3492,0,All Wheel Drive,Automatic,179,2000,180.6,73.0,66.5,27,33,4, Turbo Gas,1.5,Red,Gray,895.0
143,2020 Honda CR-V EX,"$28,998*",38K miles,3,No Accidents or Damage Reported,0,0,14.0,104.7,41.3,38.0,39.2,3521,1500,All Wheel Drive,Automatic,179,2000,182.1,73.0,66.5,27,32,4, Turbo Gas,1.5,White,Gray,895.0
144,2020 Toyota Highlander XLE,"$34,998*",42K miles,3,No Accidents or Damage Reported,0,0,17.9,112.2,40.4,38.4,16.0,4195,5000,Front Wheel Drive,Automatic,263,4700,194.9,76.0,68.1,21,29,6, Gas,3.5,Gray,Black,559.6
145,2020 Mazda CX-9 Touring,"$30,998*",32K miles,3,No Accidents or Damage Reported,0,6,19.0,115.3,41.0,39.3,14.4,4225,3500,Front Wheel Drive,Automatic,310,2000,199.4,77.5,67.6,22,28,4, Turbo Gas,2.5,Gray,Black,1550.0
146,2019 Nissan Rogue SV,"$23,998*",27K miles,4,No Accidents or Damage Reported,0,0,14.5,106.5,43.0,41.6,39.3,3488,1102,Front Wheel Drive,Automatic,175,4400,184.5,72.4,68.0,26,33,4, Gas,2.5,Red,Black,397.7
147,2020 Nissan Rogue SL,"$27,998*",23K miles,3,No Accidents or Damage Reported,0,0,14.5,106.5,43.0,41.6,39.3,3551,1102,Front Wheel Drive,Automatic,175,4400,184.5,72.4,68.0,26,33,4, Gas,2.5,Gray,Black,397.7
148,2017 Kia Sorento LX,"$18,998*",53K miles,6,No Accidents or Damage Reported,0,9,18.8,109.4,44.1,39.5,38.8,3840,2000,All Wheel Drive,Automatic,178,4000,187.4,74.4,66.3,21,25,4, Gas,2.4,White,Black,445.0
149,2021 Nissan Kicks S,"$20,998*",39K miles,2,No Accidents or Damage Reported,0,0,10.8,103.1,43.7,40.4,25.3,2691,0,Front Wheel Drive,Automatic,114,4000,169.1,69.3,62.4,31,36,4, Gas,1.6,White,Black,285.0
150,2018 Hyundai Santa Fe Sport,"$17,998*",87K miles,5,No Accidents or Damage Reported,0,0,17.4,106.3,41.3,39.6,35.4,3794,1650,All Wheel Drive,Automatic,178,4000,185.0,74.0,66.1,20,26,4, Gas,2.4,Silver,Gray,445.0
151,2020 BMW X5 xDrive40i,"$49,998*",41K miles,3,No Accidents or Damage Reported,0,1,21.9,117.1,39.8,40.8,33.9,4991,6603,All Wheel Drive,Automatic,330,1500,194.3,78.9,68.7,20,26,6, Turbo Gas,3.0,White,Brown,2200.0
152,2016 Jeep Patriot High Altitude,"$18,998*",52K miles,7,No Accidents or Damage Reported,0,4,13.5,103.7,40.6,41.0,23.0,3331,1000,Four Wheel Drive,Automatic,165,4400,173.8,69.2,66.8,20,26,4, Gas,2.4,White,Black,375.0
153,2017 BMW X5 M,"$49,998*",57K miles,6,No Accidents or Damage Reported,0,6,22.4,115.5,40.4,40.5,35.8,5260,5952,All Wheel Drive,Automatic,553,2200,192.1,75.0,69.1,14,19,8, Turbo Gas,4.4,Black,Black,2513.6
154,2014 Kia Sorento SX,"$18,998*",86K miles,9,No Accidents or Damage Reported,0,30,17.4,106.3,41.3,39.2,36.9,3894,3500,All Wheel Drive,Automatic,252,5200,184.6,74.2,66.9,18,24,6, Gas,3.3,Black,Black,484.6
155,2019 BMW X3 XDrive30i,"$31,998*",41K miles,4,No Accidents or Damage Reported,0,1,17.2,112.8,40.3,41.1,28.7,4156,0,All Wheel Drive,Automatic,258,1450,185.9,74.4,66.0,22,29,4, Turbo Gas,2.0,White,Black,1779.3
156,2020 BMW X3 XDrive30i,"$30,998*",45K miles,3,No Accidents or Damage Reported,0,0,17.2,112.8,40.3,41.1,28.7,4156,0,All Wheel Drive,Automatic,258,1450,185.9,74.4,66.0,24,29,4, Turbo Gas,2.0,Black,Black,1779.3
157,2017 Ford Edge SEL,"$19,998*",69K miles,6,No Accidents or Damage Reported,0,0,18.0,112.2,42.6,40.2,39.2,3927,1500,Front Wheel Drive,Automatic,275,3000,188.1,75.9,68.6,20,29,4, Turbo Gas,2.0,Black,Tan,916.7
158,2014 Hyundai Santa Fe Sport 2.0T,"$19,998*",63K miles,9,No Accidents or Damage Reported,0,0,17.4,106.3,41.3,39.6,35.4,3706,3500,All Wheel Drive,Automatic,269,1750,184.6,74.0,66.1,18,24,4, Turbo Gas,2.0,White,Black,1537.1
159,2020 Hyundai Kona Limited,"$24,998*",24K miles,3,No Accidents or Damage Reported,0,0,13.2,102.4,41.5,38.0,19.2,3256,0,All Wheel Drive,Automatic,195,1500,164.0,70.9,61.6,26,29,4, Turbo Gas,1.6,White,Black,1300.0
160,2019 Audi Q7 Prestige,"$38,998*",49K miles,4,No Accidents or Damage Reported,0,0,22.5,117.9,41.7,39.9,14.2,4729,0,All Wheel Drive,Automatic,325,2900,199.6,77.5,68.5,19,25,6, Supercharged Gas,3.0,Gray,Black,1120.7
161,2020 Chevrolet Trax LS,"$17,998*",60K miles,3,No Accidents or Damage Reported,0,0,14.0,100.6,40.8,39.6,0.0,3124,0,Front Wheel Drive,Automatic,148,1850,167.2,69.9,64.9,26,31,4, Turbo Gas,1.4,Black,Black,800.0
162,2018 Nissan Rogue SL,"$17,998*",112K miles,5,No Accidents or Damage Reported,0,0,14.5,106.5,43.0,41.6,39.3,3541,1102,Front Wheel Drive,Automatic,175,4400,184.5,72.4,68.0,26,33,4, Gas,2.5,Black,Black,397.7
163,2019 Buick Enclave Premium,"$35,998*",21K miles,4,No Accidents or Damage Reported,0,0,22.0,120.9,41.2,42.6,23.6,4614,0,All Wheel Drive,Automatic,266,2800,204.3,78.8,69.9,17,25,6, Gas,3.6,Black,Gray,950.0
164,2018 Mazda CX-9 Touring,"$26,998*",46K miles,5,No Accidents or Damage Reported,0,1,19.5,115.3,41.0,39.3,14.4,4361,3500,All Wheel Drive,Automatic,310,2000,199.4,77.5,67.6,20,26,4, Turbo Gas,2.5,Silver,Black,1550.0
165,2017 GMC Acadia SLT,"$22,998*",73K miles,6,No Accidents or Damage Reported,0,0,19.0,112.5,41.0,40.3,12.8,3956,0,Front Wheel Drive,Automatic,271,5000,193.6,75.4,66.0,18,25,6, Gas,3.6,Gray,Black,542.0
166,2016 Toyota RAV4 LE,"$19,998*",94K miles,7,No Accidents or Damage Reported,0,0,15.9,104.7,42.6,39.8,38.4,3455,1500,Front Wheel Drive,Automatic,172,4100,181.1,72.6,65.5,23,30,4, Gas,2.5,White,Black,419.5
