Unnamed: 0,Name,Price,Mileage,ages,accident_damages,Insurance,service_repairs,fuel_capacity,wheelbase,dirver_leg_room,dirver_head_room,cargo_capacity,curb_weight,towing_capacity,drive_type_text,transmission_text,torque_num,torque_rpm,dimension_L,dimension_W,dimension_H,mile_per_gallon_city,mile_per_gallon_hwy,engine_cly,engine_fuel,engine_L,color_ext,color_int,torque
82,2020 Honda CR-V EX-L,"$31,998*",29K miles,3 year(s),No Accidents or Damage Reported,Null,2 Service Record(s) Reported,14 gal,"104.7""","41.3""","38""",39.2 cu ft,"3,536 lbs","1,500/1,500 lbs",All Wheel Drive,Automatic,179,2000,"182.1"" L "," 73"" W "," 66.5"" H",27 city,32 hwy,4-cyl, Turbo Gas, 1.5L,White,Tan,895.0
83,2021 Buick Encore Preferred,"$21,998*",19K miles,2 year(s),,Null,,14.0 gal,"100.6""","40.8""","39.58""",Null,"3,237 lbs",Null,Front Wheel Drive,Automatic,148,1850,"168.35"" L "," 70.1"" W "," 65.2"" H",24 city,,4-cyl, Turbo Gas, 1.4L,White,Black,800.0
84,2020 Kia Sorento LX,"$22,998*",45K miles,3 year(s),,Null,,18.8 gal,"109.4""","44.1""","39.5""",11.3 cu ft,"3,953 lbs","2,000/2,000 lbs",All Wheel Drive,Automatic,178,4000,"189"" L "," 74.4"" W "," 66.3"" H",21 city,26 hwy,4-cyl, Gas, 2.4L,Blue,Black,445.0
85,2020 Honda CR-V LX,"$26,998*",42K miles,3 year(s),,Null,,14 gal,"104.7""","41.3""","40.1""",39.2 cu ft,"3,455 lbs","1,500/1,500 lbs",All Wheel Drive,Automatic,179,2000,"182.1"" L "," 73"" W "," 66.5"" H",27 city,32 hwy,4-cyl, Turbo Gas, 1.5L,Red,Gray,895.0
86,2017 Volvo XC90 T6 Momentum,"$23,998*",100K miles,6 year(s),,Null,1 Service Record(s) Reported,18.8 gal,"117.5""","40.9""","38.9""",12.6 cu ft,"4,394 lbs","5,000/5,000 lbs",All Wheel Drive,Automatic,295,2200,"194.9"" L "," 79.1"" W "," 69.9"" H",20 city,25 hwy,4-cyl, Turbo Supercharged, 2.0L,Silver,Black,1340.909090909091
87,2018 Buick Encore Preferred,"$19,998*",45K miles,5 year(s),No Accidents or Damage Reported,Null,,14.0 gal,"100.60""","40.82""","39.58""",Null,"3,237 lbs",Null,Front Wheel Drive,Automatic,148,1850,"168.41"" L "," 69.85"" W "," 65.26"" H",25 city,33 hwy,4-cyl, Turbo Gas, 1.4L,Blue,Black,800.0
88,2014 Ford Escape SE,"$13,998*",128K miles,9 year(s),No Accidents or Damage Reported,Null,1 Service Record(s) Reported,15.1 gal,"105.9""","43.1""","39.9""",34.3 cu ft,"3,502 lbs","2,000/2,000 lbs",Front Wheel Drive,Automatic,184,2500,"178.1"" L "," 72.4"" W "," 66.3"" H",23 city,32 hwy,4-cyl, Turbo Gas, 1.6L,Red,Gray,736.0
89,2019 Chevrolet Trax LT,"$16,998*",73K miles,4 year(s),No Accidents or Damage Reported,Null,,14 gal,"100.6""","40.8""","39.6""",Null,"3,146 lbs",Null,Front Wheel Drive,Automatic,148,1850,"167.2"" L "," 69.9"" W "," 66.0"" H",26 city,31 hwy,4-cyl, Turbo Gas, 1.4L,Gray,Black,800.0
90,2021 BMW X1 XDrive28i,"$32,998*",21K miles,2 year(s),No Accidents or Damage Reported,Null,,16.1 gal,"105.1""","40.4""","41.9""",27.1 cu ft,"3,713 lbs",Null,All Wheel Drive,Automatic,258,1450,"175.5"" L "," 71.7"" W "," 62.9"" H",Null,Null,4-cyl, Turbo Gas, 2.0L,White,Brown,1779.3103448275863
91,2018 Kia Niro LX,"$19,998*",63K miles,5 year(s),No Accidents or Damage Reported,Null,,11.9 gal,"106.3""","41.7""","40.1""",19.4 cu ft,"3,199 lbs",Null,Front Wheel Drive,Automatic,195,2400,"171.5"" L "," 71.1"" W "," 60.4"" H",51 city,46 hwy,4-cyl, Hybrid, 1.6L,White,Black,812.5
92,2018 Jeep Compass Latitude,"$21,998*",50K miles,5 year(s),,Null,,13.5 gal,"103.8""","41.8""","39.2""",27.2 cu ft,"3,327 lbs","1,000/1,000 lbs",Four Wheel Drive,Automatic,175,3900,"173"" L "," 73.8"" W "," 64.8"" H",22 city,31 hwy,4-cyl, Gas, 2.4L,Black,Black,448.71794871794873
93,2016 Toyota Highlander LE,"$23,998*",94K miles,7 year(s),,Null,2 Service Record(s) Reported,19.2 gal,"109.8""","44.2""","40.7""",13.8 cu ft,"4,398 lbs","5,000/5,000 lbs",All Wheel Drive,Automatic,248,4700,"191.1"" L "," 75.8"" W "," 68.1"" H",18 city,24 hwy,6-cyl, Gas, 3.5L,White,Gray,527.6595744680851
94,2018 Jeep Renegade Latitude,"$14,599*",101K miles,5 year(s),No Accidents or Damage Reported,Null,,12.7 gal,"101.2""","41.2""","41.1""",18.5 cu ft,"3,056 lbs",Null,Front Wheel Drive,Manual 6 Speed,184,2500,"166.6"" L "," 74.2"" W "," 66.5"" H",24 city,31 hwy,4-cyl, Turbo Gas, 1.4L,Black,Black,736.0
95,2016 Jeep Patriot Sport SE,"$14,599*",105K miles,7 year(s),No Accidents or Damage Reported,Null,,13.6 gal,"103.7""","40.6""","41""",23 cu ft,"3,210 lbs","1,000/1,000 lbs",Front Wheel Drive,Automatic,141,5000,"173.8"" L "," 69.2"" W "," 65.5"" H",22 city,26 hwy,4-cyl, Gas, 2.0L,Black,Black,282.0
96,2019 BMW X3 XDrive30i,"$30,998*",33K miles,4 year(s),No Accidents or Damage Reported,Null,,17.2 gal,"112.8""","40.3""","41.1""",28.7 cu ft,"4,156 lbs",Null,All Wheel Drive,Automatic,258,1450,"185.9"" L "," 74.4"" W "," 66"" H",22 city,29 hwy,4-cyl, Turbo Gas, 2.0L,Black,Black,1779.3103448275863
97,2012 Buick Enclave Leather,"$17,998*",67K miles,11 year(s),,Null,,22.0 gal,"118.9""","41.3""","40.4""",23.3 cu ft,"4,780 lbs",Null,Front Wheel Drive,Automatic,270,3400,"201.8"" L "," 79.0"" W "," 72.5"" H",17 city,24 hwy,6-cyl, Gas, 3.6L,Brown,Tan,794.1176470588235
98,2013 Ford Escape SE,"$14,998*",87K miles,10 year(s),No Accidents or Damage Reported,Null,3 Service Record(s) Reported,15.100 gal,"105.900""","40.400""","39.900""",Null,"3,515 lbs",Null,Front Wheel Drive,Automatic,184,2500,"178.100"" L "," 72.400"" W "," 66.300"" H",23 city,33 hwy,4-cyl, Turbo Gas, 1.6L,Gray,Tan,736.0
99,2017 Jeep Patriot Sport,"$15,998*",56K miles,6 year(s),,Null,3 Service Record(s) Reported,13.6 gal,"103.7""","40.6""","41""",23 cu ft,"3,136 lbs","1,000/1,000 lbs",Front Wheel Drive,Automatic,141,5000,"173.8"" L "," 69.2"" W "," 65.5"" H",23 city,30 hwy,4-cyl, Gas, 2.0L,Black,Gray,282.0
100,2020 Jeep Renegade Latitude,"$18,998*",91K miles,3 year(s),No Accidents or Damage Reported,Null,,12.7 gal,"101.2""","41.2""","41.1""",18.5 cu ft,"3,056 lbs",Null,Front Wheel Drive,Automatic,175,3900,"166.6"" L "," 74.2"" W "," 66.5"" H",22 city,30 hwy,4-cyl, Gas, 2.4L,Blue,Black,448.71794871794873
