,Unnamed: 0,Name,Price,Mileage,ages,accident_damages,Insurance,service_repairs,fuel_capacity,wheelbase,dirver_leg_room,dirver_head_room,cargo_capacity,curb_weight,towing_capacity,drive_type_text,transmission_text,torque_num,torque_rpm,dimension_L,dimension_W,dimension_H,mile_per_gallon_city,mile_per_gallon_hwy,engine_cly,engine_fuel,engine_L,color_ext,color_int,torque
58,72,2016 Jaguar F-Type,34998,55,7,No Accidents or Damage Reported,0,4,18.5,103.2,43.0,37.0,0.0,3477,Null,Rear Wheel Drive,Automatic,332,3500,176.0,75.7,51.6,19,28,6, Supercharged Gas,3.0,Black,Black,948.6
59,75,2012 Honda Accord EX-L,17998,86,11,No Accidents or Damage Reported,0,1,18.5,107.9,42.2,37.4,0.0,3543,Null,Front Wheel Drive,Automatic,254,5000,190.9,72.8,56.4,19,29,6, Gas,3.5,Black,Black,508.0
60,76,2019 Volkswagen Beetle Final Edition SEL,35998,18,4,No Accidents or Damage Reported,0,0,14.5,100.1,41.3,39.3,0.0,3239,Null,Front Wheel Drive,Automatic,184,1500,168.8,71.9,58.0,26,33,4, Turbo Gas,2.0,Black,Black,1226.7
61,77,2017 Mercedes-Benz C300,29998,25,6,No Accidents or Damage Reported,0,0,17.4,111.8,42.0,38.8,0.0,3770,Null,All Wheel Drive,Automatic,273,1300,184.5,71.3,55.3,23,29,4, Turbo Gas,2.0,Red,Black,2100.0
62,80,2019 Mercedes-Benz C300,32998,51,4,No Accidents or Damage Reported,0,0,17.4,111.8,42.0,38.8,0.0,3682,Null,All Wheel Drive,Automatic,273,1800,184.5,71.3,55.3,22,31,4, Turbo Gas,2.0,White,Cream,1516.7
63,81,2017 Infiniti Q60 Premium,27998,66,6,No Accidents or Damage Reported,0,3,20.0,112.2,43.1,37.4,0.0,3774,Null,Rear Wheel Drive,Automatic,295,1600,184.4,72.8,54.9,19,28,6, Turbo Gas,3.0,Black,Black,1843.8
64,82,2019 Ford Mustang Ecoboost Premium,25998,37,4,No Accidents or Damage Reported,0,0,16.0,107.1,44.5,37.6,0.0,3642,Null,Rear Wheel Drive,Manual 6 Speed,350,3000,188.3,75.4,54.9,20,28,4, Turbo Gas,2.3,Red,Black,1166.7
65,83,2017 BMW 440 I xDrive,35998,15,6,No Accidents or Damage Reported,0,10,15.8,110.6,42.2,39.8,0.0,3775,Null,All Wheel Drive,Manual 6 Speed,330,1380,182.6,71.9,54.8,21,31,6, Turbo Gas,3.0,Black,Black,2391.3
66,84,2018 Dodge Challenger T/A 392,42998,17,5,No Accidents or Damage Reported,0,4,18.5,116.2,42.0,39.3,0.0,4232,Null,Rear Wheel Drive,Automatic,475,4100,197.9,75.7,57.5,14,23,8, Gas,6.4,Black,Black,1158.5
68,87,2014 Scion FR-S,19998,78,9,No Accidents or Damage Reported,0,1,13.2,101.2,41.9,37.1,0.0,2758,Null,Rear Wheel Drive,Manual 6 Speed,151,6400,166.7,69.9,50.6,22,30,4, Gas,2.0,Red,Black,235.9
70,89,2016 Ford Mustang Ecoboost Premium,22998,52,7,No Accidents or Damage Reported,0,0,15.5,107.1,44.5,37.6,0.0,3642,Null,Null,Automatic,320,2500,188.3,75.4,54.9,22,31,4, Turbo Gas,2.3,Gray,Black,1280.0
71,90,2020 Dodge Challenger R/T Scat Pack Widebody,50998,7,3,No Accidents or Damage Reported,0,0,18.5,116.2,42.0,39.3,0.0,4308,Null,Null,Automatic,475,4100,197.9,79.2,57.5,14,23,8, Gas,6.4,Red,Black,1158.5
73,94,2021 Dodge Challenger GT,31998,7,2,No Accidents or Damage Reported,0,0,18.5,116.2,42.0,39.3,0.0,3906,Null,Rear Wheel Drive,Automatic,268,4800,197.9,75.7,57.7,19,30,6, Gas,3.6,Purple,Black,558.3
74,95,2018 Chevrolet Camaro SS,40998,18,5,No Accidents or Damage Reported,0,0,19.0,110.7,43.9,38.5,0.0,3685,Null,Rear Wheel Drive,Automatic,455,4400,188.3,74.7,53.1,16,25,8, Gas,6.2,White,Red,1034.1
