,Name,Price,Mileage,ages,accident_damages,Insurance,service_repairs,fuel_capacity,wheelbase,dirver_leg_room,dirver_head_room,cargo_capacity,curb_weight,towing_capacity,drive_type_text,transmission_text,torque_num,torque_rpm,dimension_L,dimension_W,dimension_H,mile_per_gallon_city,mile_per_gallon_hwy,engine_cly,engine_fuel,engine_L,color_ext,color_int,torque
57,2018 Fiat 124 Spider Classica,21998,30 ,5,No Accidents or Damage Reported,0,0,11.9,90.9,43.1,37.4,0,2436,Null,Rear Wheel Drive,Manual 6 Speed,184,3200,159.6,68.5,48.5,26,35,4, Turbo Gas,1.4,Gray,Black,575.0
58,2019 Ford Mustang Ecoboost Premium,25998,37 ,4,No Accidents or Damage Reported,0,0,16.0,107.1,44.5,37.6,0,3642,Null,Rear Wheel Drive,Manual 6 Speed,350,3000,188.3,75.4,54.9,20,28,4, Turbo Gas,2.3,Red,Black,1166.7
59,2015 Chevrolet Corvette Stingray,43998,21 ,8,No Accidents or Damage Reported,0,1,18.5,106.7,43.0,37.9,0,3298,Null,Rear Wheel Drive,Automatic,460,4600,176.9,73.9,48.8,17,29,8, Gas,6.2,Silver,Black,1000.0
60,2018 Dodge Challenger T/A 392,42998,17 ,5,No Accidents or Damage Reported,0,4,18.5,116.2,42.0,39.3,0,4232,Null,Rear Wheel Drive,Automatic,475,4100,197.9,75.7,57.5,14,23,8, Gas,6.4,Black,Black,1158.5
61,2019 Audi S5 Premium Plus,35998,47 ,4,No Accidents or Damage Reported,0,0,15.3,108.8,41.3,39.0,0,3847,Null,All Wheel Drive,Automatic,369,1370,184.7,72.7,53.9,21,30,6, Turbo Gas,3.0,Black,Black,2693.4
62,2019 Volkswagen Jetta GLI Autobahn,26998,35 ,4,No Accidents or Damage Reported,0,0,13.2,105.6,41.1,38.5,0,3274,Null,Front Wheel Drive,Automatic,258,1700,185.2,70.8,56.8,25,32,4, Turbo Gas,2.0,Gray,Black,1517.6
63,2014 Scion FR-S,19998,78 ,9,No Accidents or Damage Reported,0,1,13.2,101.2,41.9,37.1,0,2758,Null,Rear Wheel Drive,Manual 6 Speed,151,6400,166.7,69.9,50.6,22,30,4, Gas,2.0,Red,Black,235.9
64,2016 BMW M4,43998,46 ,7,No Accidents or Damage Reported,0,4,15.9,110.7,42.2,39.8,0,3530,Null,Rear Wheel Drive,Automatic,406,1850,184.5,73.6,54.4,17,26,6, Turbo Gas,3.0,Gray,Gray,2194.6
65,2020 Dodge Challenger R/T Scat Pack Widebody,49998,7 ,3,No Accidents or Damage Reported,0,0,18.5,116.2,42.0,39.3,0,4308,Null,Null,Automatic,475,4100,197.9,79.2,57.5,14,23,8, Gas,6.4,Red,Black,1158.5
66,2018 BMW M550 I xDrive,41998,42 ,5,No Accidents or Damage Reported,0,6,18.0,117.1,41.4,38.8,0,4372,Null,All Wheel Drive,Automatic,480,1800,195.4,73.5,57.8,16,25,8, Turbo Gas,4.4,Gray,Black,2666.7
68,2020 Jaguar F-Type Checkered Flag,44998,24 ,3,No Accidents or Damage Reported,0,3,16.6,103.2,42.8,36.8,0,3360,Null,Rear Wheel Drive,Automatic,295,1500,176.5,75.7,51.6,23,30,4, Turbo Gas,2.0,Gray,Black,1966.7
69,2018 Fiat 124 Spider Lusso,21998,29 ,5,No Accidents or Damage Reported,0,3,11.9,90.9,43.1,37.4,0,2436,Null,Null,Automatic,184,3200,159.6,68.5,48.5,26,35,4, Turbo Gas,1.4,Red,Black,575.0
70,2014 Chevrolet Camaro LT,20998,70 ,9,No Accidents or Damage Reported,0,4,19.0,112.3,42.4,37.4,0,3738,Null,Null,Automatic,278,4800,190.6,75.5,54.2,17,28,6, Gas,3.6,White,Black,579.2
71,2014 Chevrolet Camaro LT,22998,46 ,9,No Accidents or Damage Reported,0,0,19.0,112.3,42.4,37.4,0,3738,Null,Null,Automatic,278,4800,190.6,75.5,54.2,17,28,6, Gas,3.6,Red,Black,579.2
72,2020 Ford Mustang Shelby GT350,59998,28 ,3,No Accidents or Damage Reported,0,0,16.0,107.1,44.5,37.6,0,3760,Null,Rear Wheel Drive,Manual 6 Speed,429,4750,188.9,75.9,54.2,14,21,8, Gas,5.2,Gray,Gray,903.2
73,2013 Chevrolet Camaro ZL1,47998,7 ,10,No Accidents or Damage Reported,0,4,19.0,112.3,42.4,37.4,0,4120,Null,Rear Wheel Drive,Automatic,556,4200,190.4,75.5,54.2,14,19,8, Supercharged Gas,6.2,Black,Black,1323.8
74,2016 Mazda MX-5 Miata Grand Touring,19998,82 ,7,No Accidents or Damage Reported,0,0,11.9,90.9,43.1,37.4,0,2332,Null,Rear Wheel Drive,Manual 6 Speed,148,4600,154.1,68.3,48.8,27,34,4, Gas,2.0,Red,Black,321.7
