,Name,Price,Mileage,ages,accident_damages,Insurance,service_repairs,torque,horsepower,fuel_capacity,dimension,wheelbase,front_tire_size,dirver_leg_room,dirver_head_room,cargo_capacity,curb_weight,towing_capacity,mile_per_gallon,engine_text,drive_type_text,transmission_text,color_ext_int,prior_use,keys
110,2013 Mini Cooper S,"$22,998*",19K miles,10 year(s),No Accidents or Damage Reported,Null,,177 torque@1600-5000rpm,175 horsepower@5500rpm,13.208 gal,"146.220"" L x 66.259"" W x 55.669"" H","97.125""",P195/55R16,"41.700""","38.425""",Null,"2,711 lbs",Null,26 city/35 hwy,"4-cyl, Turbo Gas, 1.6L",Front Wheel Drive,Automatic,White/Tan,None,2']
111,2012 Cadillac CTS Performance,"$16,998*",109K miles,11 year(s),,Null,,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,"6-cyl, , 3.6L",Null,Automatic,Black/Black,None,2']
112,2019 Chevrolet Camaro 2SS,"$38,998*",36K miles,4 year(s),Multiple Damage Events,Null,,455 torque@4400rpm,455 horsepower@6000rpm,19.0 gal,"188.3"" L x 74.7"" W x 53.1"" H","110.7""",245/40ZR20,"43.9""","38.5""",Null,"3,685 lbs",Null,16 city/24 hwy,"8-cyl, Gas, 6.2L",Null,Automatic,Blue/Black,None,2']
113,2018 Dodge Challenger R/T Plus Shaker,"$32,998*",54K miles,5 year(s),No Accidents or Damage Reported,Null,,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,15 city/23 hwy,"8-cyl, Gas, 5.7L",Rear Wheel Drive,Automatic,Red/Black,None,2']
114,2021 Dodge Challenger SXT,"$27,998*",22K miles,2 year(s),No Accidents or Damage Reported,Null,,268 torque@4800rpm,303 horsepower@6350rpm,18.5 gal,"197.9"" L x 75.7"" W x 57.7"" H","116.2""",P235/55HR18,"42""","39.3""",Null,"3,858 lbs",Null,19 city/30 hwy,"6-cyl, Gas, 3.6L",Rear Wheel Drive,Automatic,White/Black,None,2']
115,2018 Chevrolet Corvette Stingray,"$48,998*",48K miles,5 year(s),No Accidents or Damage Reported,Null,,460 torque@4600rpm,455 horsepower@6000rpm,18.5 gal,"176.9"" L x 73.9"" W x 48.8"" H","106.7""",P245/35ZR19,"43""","37.9""",Null,"3,298 lbs",Null,16 city/25 hwy,"8-cyl, Gas, 6.2L",Rear Wheel Drive,Automatic,Blue/Black,None,2']
116,2013 Mercedes-Benz C250,"$17,998*",76K miles,10 year(s),,Null,,229 torque@2200 - 4300rpm,201 horsepower@5500rpm,17.4 gal,"180.7"" L x 69.7"" W x 54.8"" H","108.7""",P225/45R17,"""","37.0""",Null,"3,419 lbs",Null,21 city/31 hwy,"4-cyl, Turbo Gas, 1.8L",Rear Wheel Drive,Automatic,Gray/Black,None,2']
117,2019 Dodge Challenger SXT,"$24,998*",59K miles,4 year(s),No Accidents or Damage Reported,Null,,268 torque@4800rpm,305 horsepower@6350rpm,18.5 gal,"197.9"" L x 75.7"" W x 57.5"" H","116.2""",P235/55HR18,"42""","39.3""",Null,"3,894 lbs",Null,19 city/30 hwy,"6-cyl, Gas, 3.6L",Rear Wheel Drive,Automatic,Red/Black,None,2']
118,2017 Nissan 370Z,"$23,998*",85K miles,6 year(s),No Accidents or Damage Reported,Null,4 Service Record(s) Reported,270 torque@5200rpm,332 horsepower@7000rpm,19 gal,"167.5"" L x 72.6"" W x 51.8"" H","100.4""",P225/50WR18,"42.9""","38.2""",Null,"3,332 lbs",Null,19 city/26 hwy,"6-cyl, Gas, 3.7L",Rear Wheel Drive,Automatic,Pearl/Black,None,2']
119,2018 Dodge Challenger SRT 392,"$43,998*",38K miles,5 year(s),No Accidents or Damage Reported,Null,4 Service Record(s) Reported,475 torque@4100rpm,485 horsepower@6100rpm,18.5 gal,"198"" L x 75.7"" W x 55.9"" H","116.2""",P275/40YR20,"42""","39.3""",Null,"4,279 lbs",Null,14 city/23 hwy,"8-cyl, Gas, 6.4L",Rear Wheel Drive,Automatic,Black/Black,None,2']
