ages,accident_damages,Insurance,service_repairs,Name,Price,Mileage,fuel_capacity,wheelbase,dirver_leg_room,dirver_head_room,cargo_capacity,curb_weight,towing_capacity,drive_type_text,transmission_text,torque_num,torque_rpm,dimension_L,dimension_W,dimension_H,mile_per_gallon_city,mile_per_gallon_hwy,engine_cly,engine_fuel,engine_L,color_ext,color_int,torque
2 year(s),No Accidents or Damage Reported,Null,,2021 Toyota Tacoma TRD Sport,"$38,998*",43K miles,21.1 gal,"140.6""","42.9""","39.7""",Null,"4,550 lbs","6,400/6,400 lbs",Four Wheel Drive,Automatic,265,4600,"225.5"" L "," 75.2"" W "," 70.6"" H",18 city,22 hwy,6-cyl, Gas, 3.5L,Gray,Black,576.0869565217391
3 year(s),No Accidents or Damage Reported,Null,,2020 Ram 1500 Laramie,"$42,998*",57K miles,26 gal,"153.5""","40.9""","40.9""",Null,"5,248 lbs","6,290/6,290 lbs",Four Wheel Drive,Automatic,480,1600,"241.8"" L "," 82.1"" W "," 77.5"" H",21 city,29 hwy,6-cyl, Turbo Diesel, 3.0L,Black,Black,3000.0
5 year(s),No Accidents or Damage Reported,Null,1 Service Record(s) Reported,2016 Chevrolet Colorado LT,"$25,998*",63K miles,21 gal,"128.30""","45.00""","41.40""",Null,Null,"7,000/7,000 lbs",Four Wheel Drive,Automatic,269,4000,Null,,,17 city,24 hwy,6-cyl, Gas, 3.6L,Silver,Black,672.5
Current Year,No Accidents or Damage Reported,Null,,2023 Toyota Tacoma TRD Off Road,"$41,998*",18K miles,21.1 gal,"127.4""","42.9""","39.7""",Null,"4,550 lbs","6,400/6,400 lbs",Four Wheel Drive,Automatic,265,4600,"212.3"" L "," 75.2"" W "," 70.6"" H",18 city,22 hwy,6-cyl, Gas, 3.5L,Red,Gray,576.0869565217391
4 year(s),No Accidents or Damage Reported,Null,1 Service Record(s) Reported,2019 Ram 1500 Bighorn,"$36,998*",56K miles,26 gal,"153.5""","40.9""","40.9""",Null,"5,160 lbs","6,320/6,320 lbs",Four Wheel Drive,Automatic,410,3950,"241.8"" L "," 82.1"" W "," 77.5"" H",15 city,21 hwy,8-cyl, Gas, 5.7L,Burgundy,Black,1037.9746835443038
4 year(s),No Accidents or Damage Reported,Null,1 Service Record(s) Reported,2019 Ford F350 XL,"$41,998*",64K miles,34 gal,"160""","43.9""","40.8""",Null,"6,681 lbs","12,300/12,300 lbs",Four Wheel Drive,Automatic,430,3800,"250"" L "," 80"" W "," 81.3"" H",Null,Null,8-cyl, Gas, 6.2L,Silver,Gray,1131.578947368421
6 year(s),No Accidents or Damage Reported,Null,,2017 Chevrolet Colorado Work Truck,"$22,998*",129K miles,21 gal,"128.30""","45.00""","41.40""",Null,Null,"7,600/7,600 lbs",Four Wheel Drive,Automatic,275,4000,Null,,,17 city,24 hwy,6-cyl, Gas, 3.6L,Gray,Gray,687.5
7 year(s),,Null,6 Service Record(s) Reported,2016 Toyota Tacoma TRD Sport,"$29,998*",62K miles,21.1 gal,"127.4""","42.9""","39.7""",Null,"4,060 lbs","3,500/3,500 lbs",Rear Wheel Drive,Automatic,265,4600,"212.3"" L "," 75.2"" W "," 70.6"" H",19 city,24 hwy,6-cyl, Gas, 3.5L,Gray,Black,576.0869565217391
4 year(s),,Null,,2019 Ram 2500 Tradesman,"$42,998*",39K miles,32 gal,"169""","40.9""","40.9""",Null,"6,805 lbs","14,220/14,220 lbs",Four Wheel Drive,Automatic,429,4000,"260.8"" L "," 79.4"" W "," 80.1"" H",Null,Null,8-cyl, Gas, 6.4L,Silver,Black,1072.5
5 year(s),No Accidents or Damage Reported,Null,,2018 Ford F150 XLT,"$28,998*",63K miles,26 gal,"157""","43.9""","40.8""",Null,"4,912 lbs","7,000/7,000 lbs",Four Wheel Drive,Automatic,470,3500,"243.7"" L "," 79.9"" W "," 77.3"" H",17 city,23 hwy,6-cyl, Turbo Gas, 3.5L,Blue,Gray,1342.857142857143
3 year(s),No Accidents or Damage Reported,Null,,2020 Nissan Titan SV,"$33,998*",38K miles,26 gal,"139.8""","41.8""","41""",Null,"5,502 lbs","9,350/9,350 lbs",Rear Wheel Drive,Automatic,413,4000,"228.1"" L "," 79.5"" W "," 75.4"" H",16 city,22 hwy,8-cyl, Gas, 5.6L,Black,Gray,1032.5
5 year(s),No Accidents or Damage Reported,Null,,2018 GMC Canyon SLT,"$33,998*",26K miles,21 gal,"140.50""","45.00""","41.40""",Null,Null,"7,550/7,550 lbs",Four Wheel Drive,Automatic,275,4000,Null,,,17 city,24 hwy,6-cyl, Gas, 3.6L,Blue,Black,687.5
4 year(s),,Null,,2019 GMC Sierra 1500 Elevation,"$37,998*",37K miles,24 gal,"147.44""","44.53""","43.03""",Null,"4,835 lbs","11,200/11,200 lbs",Four Wheel Drive,Automatic,383,4100,"231.75"" L "," 81.24"" W "," 75.63"" H",15 city,21 hwy,8-cyl, Gas, 5.3L,Black,Gray,934.1463414634146
1 year(s),No Accidents or Damage Reported,Null,2 Service Record(s) Reported,2022 Jeep Gladiator Willy's,"$43,998*",9K miles,22 gal,"137.3""","41.2""","42.8""",Null,"4,650 lbs","4,000/4,000 lbs",Null,Automatic,260,4400,"218"" L "," 73.8"" W "," 75"" H",23 hwy,,6-cyl, Gas, 3.6L,Gray,Black,590.9090909090909
3 year(s),No Accidents or Damage Reported,Null,,2020 Chevrolet Colorado Work Truck,"$24,998*",87K miles,21 gal,"128.3""","45.0""","41.4""",Null,Null,"7,700/7,700 lbs",Rear Wheel Drive,Automatic,191,4400,"212.7"" L "," 74.3"" W "," 70.7"" H",20 city,26 hwy,4-cyl, Gas, 2.5L,White,Black,434.0909090909091
3 year(s),,Null,,2020 Ram 1500 Laramie,"$42,998*",29K miles,26 gal,"144.5""","40.9""","40.9""",Null,"5,196 lbs","6,280/6,280 lbs",Four Wheel Drive,Automatic,410,3950,"232.9"" L "," 82.1"" W "," 77.6"" H",15 city,21 hwy,8-cyl, Gas, 5.7L,Gray,Black,1037.9746835443038
6 year(s),No Accidents or Damage Reported,Null,,2017 Chevrolet Colorado Work Truck,"$24,998*",39K miles,21 gal,"128.30""","45.00""","41.40""",Null,Null,"7,700/7,700 lbs",Rear Wheel Drive,Automatic,191,4400,Null,,,19 city,26 hwy,4-cyl, Gas, 2.5L,Blue,Gray,434.0909090909091
1 year(s),No Accidents or Damage Reported,Null,,2022 Toyota Tundra Platinum,"$59,998*",28K miles,32.2 gal,"145.7""","41.2""","39.3""",Null,"5,490 lbs","10,890/10,890 lbs",Four Wheel Drive,Automatic,479,2400,"233.6"" L "," 80.2"" W "," 78"" H",17 city,22 hwy,6-cyl, Turbo Gas, 3.5L,Black,Black,1995.8333333333333
1 year(s),No Accidents or Damage Reported,Null,,2022 Chevrolet Silverado 1500 Work Truck,"$33,998*",10K miles,24 gal,"147.45""","44.5""","43""",Null,"4,594 lbs","9,500/9,500 lbs",Rear Wheel Drive,Automatic,420,1500,"231.88"" L "," 81.2"" W "," 75.6"" H",19 city,22 hwy,4-cyl, Turbo Gas, 2.7L,White,Black,2800.0000000000005
1 year(s),No Accidents or Damage Reported,Null,,2022 Ford F150 Lariat,"$45,998*",35K miles,26 gal,"145""","43.9""","40.8""",Null,"4,838 lbs","7,700/7,700 lbs",Four Wheel Drive,Automatic,400,3000,"231.7"" L "," 79.9"" W "," 77.2"" H",24 hwy,,6-cyl, Turbo Gas, 2.7L,White,Black,1333.3333333333333
Current Year,No Accidents or Damage Reported,Null,,2023 Ford F150 XL,"$46,998*",13K miles,26 gal,"157""","43.9""","40.8""",Null,"5,014 lbs","9,300/9,300 lbs",Four Wheel Drive,Automatic,410,4250,"243.5"" L "," 79.9"" W "," 77.6"" H",Null,Null,8-cyl, Gas, 5.0L,Black,Black,964.7058823529411
